"id"	"p_id"	"loc_id"	"s_time"	"e_time"
"1"	"25"	"7"	"2/2/2021 10:14:40"	"2/2/2021 10:53:40"
"2"	"25"	"12"	"2/2/2021 10:54:40"	"2/2/2021 11:25:40"
"3"	"25"	"15"	"2/2/2021 11:29:40"	"2/2/2021 11:57:40"
"4"	"25"	"11"	"2/2/2021 11:57:40"	"2/2/2021 13:46:40"
"5"	"25"	"13"	"2/2/2021 13:48:40"	"2/2/2021 15:31:40"
"6"	"25"	"5"	"2/2/2021 15:34:40"	"2/2/2021 16:28:40"
"7"	"25"	"8"	"2/2/2021 16:30:40"	"2/2/2021 18:24:40"
"8"	"25"	"14"	"2/2/2021 18:28:40"	"2/2/2021 18:40:40"
"9"	"25"	"10"	"2/2/2021 18:44:40"	"2/2/2021 20:01:40"
"10"	"25"	"3"	"2/2/2021 20:05:40"	"2/2/2021 21:25:40"
"11"	"25"	"9"	"2/2/2021 21:25:40"	"2/2/2021 22:27:40"
"12"	"1"	"3"	"2/2/2021 00:52:21"	"2/2/2021 02:24:21"
"13"	"4"	"9"	"2/2/2021 15:02:09"	"2/2/2021 16:08:09"
"14"	"4"	"15"	"2/2/2021 16:10:09"	"2/2/2021 17:15:09"
"15"	"4"	"11"	"2/2/2021 17:16:09"	"2/2/2021 17:40:09"
"16"	"4"	"8"	"2/2/2021 17:40:09"	"2/2/2021 18:12:09"
"17"	"4"	"10"	"2/2/2021 18:15:09"	"2/2/2021 18:24:09"
"18"	"4"	"6"	"2/2/2021 18:26:09"	"2/2/2021 19:32:09"
"19"	"4"	"1"	"2/2/2021 19:35:09"	"2/2/2021 21:05:09"
"20"	"4"	"3"	"2/2/2021 21:09:09"	"2/2/2021 22:47:09"
"21"	"4"	"16"	"2/2/2021 22:49:09"	"3/2/2021 00:32:09"
"22"	"4"	"12"	"3/2/2021 00:32:09"	"3/2/2021 00:58:09"
"23"	"4"	"4"	"3/2/2021 00:58:09"	"3/2/2021 02:55:09"
"24"	"4"	"13"	"3/2/2021 02:58:09"	"3/2/2021 03:02:09"
"25"	"4"	"2"	"3/2/2021 03:05:09"	"3/2/2021 03:57:09"
"26"	"4"	"5"	"3/2/2021 04:01:09"	"3/2/2021 06:00:09"
"27"	"4"	"7"	"3/2/2021 06:01:09"	"3/2/2021 07:56:09"
"28"	"5"	"16"	"2/2/2021 15:56:29"	"2/2/2021 16:18:29"
"29"	"5"	"1"	"2/2/2021 16:19:29"	"2/2/2021 16:38:29"
"30"	"5"	"4"	"2/2/2021 16:41:29"	"2/2/2021 18:19:29"
"31"	"5"	"7"	"2/2/2021 18:19:29"	"2/2/2021 18:35:29"
"32"	"5"	"11"	"2/2/2021 18:37:29"	"2/2/2021 20:16:29"
"33"	"5"	"5"	"2/2/2021 20:20:29"	"2/2/2021 21:54:29"
"34"	"5"	"9"	"2/2/2021 21:56:29"	"2/2/2021 23:01:29"
"35"	"5"	"8"	"2/2/2021 23:03:29"	"2/2/2021 23:07:29"
"36"	"5"	"13"	"2/2/2021 23:09:29"	"3/2/2021 00:11:29"
"37"	"5"	"12"	"3/2/2021 00:13:29"	"3/2/2021 00:55:29"
"38"	"5"	"6"	"3/2/2021 00:59:29"	"3/2/2021 01:20:29"
"39"	"5"	"14"	"3/2/2021 01:20:29"	"3/2/2021 03:09:29"
"40"	"5"	"3"	"3/2/2021 03:09:29"	"3/2/2021 04:01:29"
"41"	"5"	"10"	"3/2/2021 04:03:29"	"3/2/2021 04:45:29"
"42"	"5"	"2"	"3/2/2021 04:48:29"	"3/2/2021 06:22:29"
"43"	"5"	"15"	"3/2/2021 06:22:29"	"3/2/2021 07:38:29"
"44"	"5"	"16"	"3/2/2021 07:42:29"	"3/2/2021 07:45:29"
"45"	"5"	"1"	"3/2/2021 07:48:29"	"3/2/2021 08:21:29"
"46"	"5"	"4"	"3/2/2021 08:23:29"	"3/2/2021 09:46:29"
"47"	"5"	"7"	"3/2/2021 09:49:29"	"3/2/2021 10:02:29"
"48"	"22"	"12"	"2/2/2021 23:11:47"	"3/2/2021 00:10:47"
"49"	"22"	"14"	"3/2/2021 00:13:47"	"3/2/2021 00:46:47"
"50"	"22"	"11"	"3/2/2021 00:47:47"	"3/2/2021 01:24:47"
"51"	"22"	"6"	"3/2/2021 01:28:47"	"3/2/2021 02:43:47"
"52"	"36"	"8"	"2/2/2021 07:39:40"	"2/2/2021 08:18:40"
"53"	"36"	"1"	"2/2/2021 08:20:40"	"2/2/2021 10:12:40"
"54"	"36"	"12"	"2/2/2021 10:14:40"	"2/2/2021 11:32:40"
"55"	"36"	"11"	"2/2/2021 11:32:40"	"2/2/2021 12:04:40"
"56"	"36"	"14"	"2/2/2021 12:07:40"	"2/2/2021 13:54:40"
"57"	"36"	"4"	"2/2/2021 13:57:40"	"2/2/2021 15:49:40"
"58"	"36"	"7"	"2/2/2021 15:52:40"	"2/2/2021 17:30:40"
"59"	"36"	"3"	"2/2/2021 17:30:40"	"2/2/2021 18:47:40"
"61"	"46"	"3"	"2/2/2021 05:10:04"	"2/2/2021 05:32:04"
"62"	"46"	"10"	"2/2/2021 05:35:04"	"2/2/2021 05:59:04"
"63"	"46"	"9"	"2/2/2021 06:02:04"	"2/2/2021 07:32:04"
"64"	"46"	"4"	"2/2/2021 07:32:04"	"2/2/2021 08:10:04"
"65"	"46"	"16"	"2/2/2021 08:13:04"	"2/2/2021 08:34:04"
"66"	"46"	"8"	"2/2/2021 08:34:04"	"2/2/2021 10:00:04"
"67"	"46"	"13"	"2/2/2021 10:00:04"	"2/2/2021 11:59:04"
"68"	"46"	"15"	"2/2/2021 11:59:04"	"2/2/2021 12:40:04"
"69"	"46"	"11"	"2/2/2021 12:43:04"	"2/2/2021 13:58:04"
"70"	"46"	"12"	"2/2/2021 14:02:04"	"2/2/2021 15:45:04"
"71"	"46"	"2"	"2/2/2021 15:46:04"	"2/2/2021 17:05:04"
"72"	"46"	"5"	"2/2/2021 17:09:04"	"2/2/2021 17:31:04"
"73"	"46"	"14"	"2/2/2021 17:35:04"	"2/2/2021 19:33:04"
"74"	"46"	"7"	"2/2/2021 19:36:04"	"2/2/2021 20:46:04"
"75"	"46"	"1"	"2/2/2021 20:48:04"	"2/2/2021 21:09:04"
"76"	"46"	"6"	"2/2/2021 21:10:04"	"2/2/2021 22:27:04"
"77"	"46"	"3"	"2/2/2021 22:27:04"	"2/2/2021 22:41:04"
"78"	"46"	"10"	"2/2/2021 22:45:04"	"3/2/2021 00:17:04"
"79"	"46"	"9"	"3/2/2021 00:17:04"	"3/2/2021 01:13:04"
"80"	"48"	"2"	"2/2/2021 06:54:09"	"2/2/2021 06:55:09"
"81"	"48"	"12"	"2/2/2021 06:56:09"	"2/2/2021 07:32:09"
"82"	"16"	"7"	"2/2/2021 16:45:09"	"2/2/2021 18:18:09"
"83"	"16"	"14"	"2/2/2021 18:21:09"	"2/2/2021 19:48:09"
"84"	"16"	"10"	"2/2/2021 19:48:09"	"2/2/2021 20:17:09"
"85"	"16"	"12"	"2/2/2021 20:19:09"	"2/2/2021 21:52:09"
"86"	"16"	"9"	"2/2/2021 21:52:09"	"2/2/2021 22:20:09"
"87"	"16"	"13"	"2/2/2021 22:24:09"	"2/2/2021 23:34:09"
"88"	"16"	"15"	"2/2/2021 23:35:09"	"3/2/2021 01:28:09"
"89"	"16"	"2"	"3/2/2021 01:28:09"	"3/2/2021 02:21:09"
"90"	"16"	"16"	"3/2/2021 02:23:09"	"3/2/2021 02:39:09"
"91"	"41"	"4"	"2/2/2021 02:44:47"	"2/2/2021 04:42:47"
"92"	"41"	"2"	"2/2/2021 04:45:47"	"2/2/2021 06:24:47"
